Date,最高気温,最低気温
20150101,62,39
20150102,62,44
20150103,62,42
20150104,57,45
20150105,54,44
20150106,55,36
20150107,62,45
20150108,66,48
20150109,63,39
20150110,57,37
20150111,50,37
20150112,48,35
20150113,48,30
20150114,48,28
20150115,53,28
20150116,50,30
20150117,57,37
20150118,61,33
20150119,55,35
20150120,61,35
20150121,64,43
20150122,61,36
20150123,57,35
20150124,60,35
20150125,55,39
20150126,54,44
20150127,57,48
20150128,59,45
20150129,63,45
20150130,59,41
20150131,55,48
20150201,53,46
20150202,55,44
20150203,59,37
20150204,66,39
20150205,64,43
20150206,61,46
20150207,61,51
20150208,60,51
20150209,61,55
20150210,62,55
20150211,61,46
20150212,59,43
20150213,57,46
20150214,61,39
20150215,64,44
20150216,71,46
20150217,73,51
20150218,60,46
20150219,63,44
20150220,57,45
20150221,59,48
20150222,55,44
20150223,55,42
20150224,57,39
20150225,55,48
20150226,57,44
20150227,53,39
20150228,53,37
20150301,54,37
20150302,61,39
20150303,66,43
20150304,70,48
20150305,68,53
20150306,69,46
20150307,62,51
20150308,61,46
20150309,60,45
20150310,68,46
20150311,79,48
20150312,80,52
20150313,73,53
20150314,64,48
20150315,78,46
20150316,78,50
20150317,62,51
20150318,66,46
20150319,64,48
20150320,60,48
20150321,66,46
20150322,73,43
20150323,78,48
20150324,68,48
20150325,64,53
20150326,66,48
20150327,57,46
20150328,66,42
20150329,73,42
20150330,72,46
20150331,69,46
20150401,64,46
20150402,69,46
20150403,71,46
20150404,69,50
20150405,71,52
20150406,64,52
20150407,68,51
20150408,71,51
20150409,66,50
20150410,72,46
20150411,63,50
20150412,64,46
20150413,70,44
20150414,57,51
20150415,68,46
20150416,75,46
20150417,62,48
20150418,61,45
20150419,57,42
20150420,64,46
20150421,61,43
20150422,63,48
20150423,70,44
20150424,66,46
20150425,66,48
20150426,69,48
20150427,82,50
20150428,81,55
20150429,70,53
20150430,77,51
20150501,70,48
20150502,66,52
20150503,63,48
20150504,64,51
20150505,73,46
20150506,88,54
20150507,91,57
20150508,84,60
20150509,73,55
20150510,57,52
20150511,64,51
20150512,64,50
20150513,72,46
20150514,66,50
20150515,63,51
20150516,70,48
20150517,68,50
20150518,73,50
20150519,70,52
20150520,73,51
20150521,78,54
20150522,81,51
20150523,86,55
20150524,78,55
20150525,69,54
20150526,69,55
20150527,69,54
20150528,73,52
20150529,69,53
20150530,66,55
20150531,64,54
20150601,66,54
20150602,64,54
20150603,70,55
20150604,73,59
20150605,68,55
20150606,70,53
20150607,75,51
20150608,70,50
20150609,75,53
20150610,75,55
20150611,75,53
20150612,79,52
20150613,90,59
20150614,89,60
20150615,86,59
20150616,72,55
20150617,79,53
20150618,79,57
20150619,73,55
20150620,71,55
20150621,77,55
20150622,79,54
20150623,77,54
20150624,77,53
20150625,82,53
20150626,71,54
20150627,73,55
20150628,73,57
20150629,77,60
20150630,75,54
20150701,78,54
20150702,82,57
20150703,72,57
20150704,84,59
20150705,84,61
20150706,75,60
20150707,73,55
20150708,78,55
20150709,73,57
20150710,73,59
20150711,78,62
20150712,75,59
20150713,79,60
20150714,73,60
20150715,78,62
20150716,75,59
20150717,77,60
20150718,75,63
20150719,80,59
20150720,79,59
20150721,77,61
20150722,75,63
20150723,79,64
20150724,73,61
20150725,72,57
20150726,75,60
20150727,78,60
20150728,77,57
20150729,73,57
20150730,80,59
20150731,75,59
20150801,75,59
20150802,73,60
20150803,79,60
20150804,77,59
20150805,71,57
20150806,71,59
20150807,73,57
20150808,71,55
20150809,77,60
20150810,77,57
20150811,73,57
20150812,72,55
20150813,75,55
20150814,73,55
20150815,75,57
20150816,79,60
20150817,80,55
20150818,78,57
20150819,77,55
20150820,80,64
20150821,82,62
20150822,82,60
20150823,82,57
20150824,78,59
20150825,73,61
20150826,73,61
20150827,78,59
20150828,86,62
20150829,88,68
20150830,90,68
20150831,80,66
20150901,87,62
20150902,89,61
20150903,78,61
20150904,78,63
20150905,89,57
20150906,82,64
20150907,75,61
20150908,73,62
20150909,71,61
20150910,73,59
20150911,71,59
20150912,72,60
20150913,77,57
20150914,75,60
20150915,73,57
20150916,72,61
20150917,72,55
20150918,73,55
20150919,66,55
20150920,71,52
20150921,77,57
20150922,64,57
20150923,68,55
20150924,78,52
20150925,84,53
20150926,87,57
20150927,75,55
20150928,66,54
20150929,73,52
20150930,75,48
20151001,71,57
20151002,81,53
20151003,73,54
20151004,69,55
20151005,64,50
20151006,73,45
20151007,77,46
20151008,79,53
20151009,72,53
20151010,69,54
20151011,70,48
20151012,64,54
20151013,70,53
20151014,66,51
20151015,68,52
20151016,66,52
20151017,66,50
20151018,73,50
20151019,72,57
20151020,66,54
20151021,73,51
20151022,81,51
20151023,84,53
20151024,79,55
20151025,66,53
20151026,68,46
20151027,66,52
20151028,75,52
20151029,63,55
20151030,63,53
20151031,63,54
20151101,66,53
20151102,77,50
20151103,80,48
20151104,77,48
20151105,66,48
20151106,62,52
20151107,61,48
20151108,59,53
20151109,63,48
20151110,66,48
20151111,63,48
20151112,68,44
20151113,72,51
20151114,75,55
20151115,69,51
20151116,63,55
20151117,66,51
20151118,64,53
20151119,66,48
20151120,63,46
20151121,64,43
20151122,64,37
20151123,70,37
20151124,60,37
20151125,60,46
20151126,63,42
20151127,63,45
20151128,64,46
20151129,62,41
20151130,55,42
20151201,57,37
20151202,61,45
20151203,66,50
20151204,61,54
20151205,60,50
20151206,57,48
20151207,55,45
20151208,53,42
20151209,57,39
20151210,57,39
20151211,57,41
20151212,55,35
20151213,59,34
20151214,55,34
20151215,55,39
20151216,55,43
20151217,57,48
20151218,57,43
20151219,59,41
20151220,55,43
20151221,53,39
20151222,53,32
20151223,55,37
20151224,57,45
20151225,57,37
20151226,53,43
20151227,48,37
20151228,48,43
20151229,57,44
20151230,52,43
20151231,57,42

